income,debt_ratio,history_years,defaults,age,protected,approved_historical,approved_merit_only
29.29,0.28,3.76,0.0,49.11,1.0,0,0
28.26,0.1,12.88,0.0,37.07,0.0,1,1
61.84,0.34,6.69,1.0,38.5,0.0,0,0
35.21,0.04,14.04,0.0,39.75,1.0,1,1
22.75,0.32,5.54,1.0,47.96,1.0,0,0
40.53,0.59,6.53,0.0,44.57,0.0,0,0
18.36,0.21,8.97,1.0,32.17,0.0,0,0
18.55,0.34,12.61,0.0,18.0,1.0,0,0
25.08,0.03,28.73,0.0,64.3,0.0,1,1
21.9,0.18,11.71,0.0,43.51,1.0,0,1
32.79,0.13,3.29,0.0,38.01,0.0,1,1
82.9,0.23,3.75,0.0,20.55,0.0,1,1
48.48,0.22,7.54,0.0,40.4,0.0,1,1
47.07,0.14,3.62,0.0,41.85,0.0,1,1
33.8,0.57,4.2,0.0,43.14,0.0,0,0
38.22,0.2,11.76,0.0,56.93,0.0,1,1
49.46,0.3,16.94,0.0,48.46,0.0,1,1
24.75,0.1,3.74,0.0,55.36,1.0,0,1
30.06,0.09,13.01,0.0,37.98,1.0,0,1
21.27,0.18,2.65,0.0,46.34,1.0,0,0
51.83,0.28,7.4,0.0,41.33,0.0,1,1
35.73,0.17,7.52,0.0,33.03,0.0,1,1
26.59,0.08,1.73,0.0,26.56,0.0,1,1
42.98,0.49,11.52,1.0,24.55,1.0,0,0
46.37,0.16,7.09,1.0,42.04,0.0,0,0
14.45,0.23,10.82,0.0,34.75,1.0,0,0
14.21,0.3,14.79,0.0,27.6,1.0,0,0
14.86,0.22,25.11,0.0,51.8,0.0,1,1
68.38,0.2,5.3,0.0,38.48,0.0,1,1
33.98,0.28,6.55,0.0,67.92,1.0,0,0
51.74,0.3,2.51,1.0,46.39,1.0,0,0
35.2,0.23,7.56,1.0,29.63,0.0,0,0
55.69,0.24,2.78,0.0,71.07,0.0,1,1
33.96,0.24,2.97,1.0,47.74,0.0,0,0
40.91,0.28,16.29,1.0,29.41,1.0,0,0
11.08,0.24,6.2,0.0,39.03,0.0,0,0
38.35,0.49,21.96,0.0,45.12,0.0,0,0
65.35,0.55,6.6,1.0,31.46,0.0,0,0
32.05,0.25,7.43,1.0,19.85,0.0,0,0
49.2,0.25,4.55,0.0,47.26,1.0,0,1
20.17,0.15,9.94,0.0,35.15,0.0,0,0
15.7,0.23,1.23,1.0,53.45,1.0,0,0
20.75,0.07,8.54,0.0,57.94,1.0,0,1
26.38,0.28,22.35,0.0,40.34,0.0,1,1
36.36,0.33,9.61,1.0,45.79,1.0,0,0
47.68,0.64,9.1,0.0,47.79,0.0,0,0
72.27,0.13,6.98,1.0,20.43,0.0,1,1
36.01,0.75,7.28,1.0,31.97,1.0,0,0
28.13,0.23,21.63,0.0,74.84,0.0,1,1
36.24,0.22,4.38,0.0,29.2,0.0,1,1
37.01,0.09,15.31,2.0,55.88,0.0,0,0
21.06,0.38,11.65,0.0,41.89,1.0,0,0
18.97,0.17,3.95,0.0,50.48,0.0,0,0
42.35,0.24,16.89,1.0,61.46,0.0,1,1
48.07,0.16,5.54,0.0,41.13,0.0,1,1
43.39,0.04,10.19,0.0,51.06,0.0,1,1
47.1,0.15,19.47,1.0,30.43,0.0,1,1
81.1,0.17,9.06,0.0,32.52,0.0,1,1
25.35,0.21,6.55,1.0,44.83,1.0,0,0
67.35,0.12,14.11,0.0,66.26,0.0,1,1
70.57,0.29,7.26,1.0,51.06,0.0,1,1
28.83,0.76,8.18,0.0,29.13,1.0,0,0
80.12,0.45,16.58,0.0,49.95,0.0,1,1
23.27,0.32,1.13,1.0,18.0,1.0,0,0
50.81,0.3,7.23,0.0,18.0,0.0,1,1
30.18,0.37,3.95,0.0,41.72,0.0,0,0
48.52,0.22,3.39,1.0,53.59,1.0,0,0
19.71,0.37,3.52,0.0,53.42,1.0,0,0
50.74,0.17,3.6,0.0,59.22,0.0,1,1
27.39,0.7,9.25,1.0,45.55,1.0,0,0
45.22,0.22,10.37,0.0,40.53,0.0,1,1
41.59,0.35,9.55,0.0,18.72,0.0,1,1
35.26,0.41,5.29,2.0,39.5,0.0,0,0
36.43,0.2,6.86,0.0,48.83,0.0,1,1
26.14,0.17,9.64,0.0,18.63,0.0,1,1
29.35,0.17,19.1,0.0,33.66,0.0,1,1
40.77,0.44,16.89,2.0,54.68,1.0,0,0
21.87,0.06,10.48,0.0,42.0,0.0,1,1
42.54,0.13,9.49,1.0,38.86,1.0,0,1
53.55,0.08,9.03,0.0,61.45,1.0,1,1
33.74,0.35,11.48,0.0,65.56,1.0,0,0
21.51,0.4,7.78,0.0,55.81,0.0,0,0
41.79,0.18,11.19,0.0,35.13,0.0,1,1
41.19,0.18,1.79,0.0,30.02,1.0,0,1
27.18,0.17,5.91,0.0,43.9,1.0,0,1
34.61,0.2,17.82,2.0,30.5,0.0,0,0
75.04,0.27,11.04,0.0,51.53,0.0,1,1
44.11,0.48,10.9,3.0,54.38,0.0,0,0
31.32,0.13,17.45,0.0,44.51,0.0,1,1
21.26,0.15,9.8,0.0,54.83,0.0,1,1
26.8,0.36,9.86,0.0,56.01,0.0,0,0
23.26,0.51,13.05,1.0,44.88,1.0,0,0
20.14,0.09,8.58,0.0,50.39,0.0,1,1
50.41,0.25,8.23,1.0,62.78,0.0,0,0
45.39,0.18,6.59,2.0,41.11,0.0,0,0
23.42,0.11,8.94,0.0,36.85,0.0,1,1
27.02,0.18,8.43,0.0,43.64,0.0,1,1
28.27,0.2,16.97,1.0,65.29,0.0,0,0
18.58,0.36,8.93,1.0,19.31,1.0,0,0
25.0,0.35,9.62,2.0,44.95,0.0,0,0
31.0,0.04,12.95,1.0,18.0,0.0,1,1
51.62,0.27,3.84,0.0,44.51,1.0,0,1
38.57,0.2,5.21,0.0,27.89,0.0,1,1
27.47,0.49,16.18,0.0,50.02,0.0,0,0
38.08,0.27,11.68,0.0,58.15,0.0,1,1
20.37,0.25,10.03,0.0,37.65,1.0,0,1
20.59,0.32,11.39,1.0,46.81,0.0,0,0
25.48,0.37,18.49,0.0,50.99,0.0,1,1
91.37,0.16,9.34,0.0,44.79,0.0,1,1
30.79,0.64,12.86,0.0,33.36,1.0,0,0
46.34,0.45,16.44,0.0,37.56,0.0,1,1
36.79,0.37,14.91,0.0,45.23,1.0,0,1
56.43,0.15,2.33,1.0,49.97,0.0,0,0
31.14,0.06,11.3,0.0,52.77,1.0,1,1
28.7,0.18,18.26,0.0,37.7,1.0,0,1
36.62,0.3,7.48,0.0,49.36,1.0,0,1
30.43,0.48,10.69,0.0,21.13,1.0,0,0
91.63,0.31,10.56,1.0,41.98,0.0,1,1
21.75,0.41,9.54,2.0,51.98,1.0,0,0
33.34,0.29,29.89,0.0,55.77,0.0,1,1
38.02,0.46,7.54,1.0,57.93,0.0,0,0
36.33,0.24,5.23,0.0,36.97,0.0,1,1
47.19,0.31,5.36,0.0,57.18,1.0,0,1
89.53,0.37,11.48,0.0,26.86,1.0,1,1
27.37,0.41,1.48,1.0,39.79,1.0,0,0
41.0,0.18,5.78,0.0,44.18,1.0,0,1
29.39,0.22,9.98,0.0,51.82,0.0,1,1
26.15,0.3,3.58,0.0,50.24,0.0,0,0
32.12,0.47,8.16,0.0,46.24,0.0,0,0
87.73,0.27,10.77,1.0,28.91,0.0,1,1
60.76,0.32,6.25,0.0,49.31,0.0,1,1
67.97,0.81,6.62,1.0,64.45,0.0,0,0
59.76,0.15,2.25,0.0,45.94,0.0,1,1
36.74,0.26,4.55,0.0,61.41,0.0,0,0
21.94,0.41,7.57,1.0,30.96,1.0,0,0
26.36,0.12,2.22,1.0,41.46,0.0,0,0
58.09,0.24,18.6,0.0,36.98,0.0,1,1
28.12,0.11,8.63,0.0,33.08,0.0,1,1
36.22,0.13,24.18,1.0,18.0,1.0,0,1
47.74,0.39,15.46,0.0,46.93,0.0,1,1
87.08,0.16,14.45,1.0,38.64,0.0,1,1
54.59,0.1,6.32,1.0,18.0,0.0,1,1
21.25,0.43,8.25,0.0,50.53,1.0,0,0
28.41,0.25,10.69,1.0,39.4,1.0,0,0
41.41,0.36,10.62,0.0,51.16,0.0,1,1
18.4,0.52,8.64,1.0,36.43,1.0,0,0
12.83,0.09,6.27,0.0,39.26,1.0,0,0
30.91,0.5,15.9,2.0,59.87,1.0,0,0
19.55,0.21,14.53,0.0,59.31,1.0,0,1
22.04,0.13,10.77,0.0,34.84,1.0,0,1
27.64,0.11,12.54,0.0,36.55,0.0,1,1
21.72,0.46,9.59,1.0,34.66,1.0,0,0
43.18,0.38,15.81,0.0,56.08,0.0,1,1
30.59,0.4,14.69,0.0,32.75,1.0,0,0
25.06,0.16,2.2,1.0,53.36,0.0,0,0
45.21,0.24,23.03,0.0,43.78,1.0,1,1
38.66,0.08,8.45,0.0,66.17,0.0,1,1
30.14,0.04,15.47,1.0,46.0,0.0,1,1
26.91,0.27,5.48,1.0,23.77,1.0,0,0
56.08,0.25,11.45,1.0,48.55,0.0,1,1
23.62,0.32,14.32,0.0,33.21,0.0,0,0
22.66,0.42,9.23,1.0,31.03,0.0,0,0
13.33,0.76,4.47,1.0,18.0,1.0,0,0
62.34,0.19,1.94,0.0,24.58,0.0,1,1
34.64,0.24,10.21,1.0,50.03,1.0,0,0
19.5,0.13,6.19,0.0,42.54,1.0,0,0
32.33,0.26,4.09,0.0,52.88,0.0,0,0
40.42,0.09,3.32,0.0,49.68,1.0,1,1
20.87,0.16,15.35,1.0,50.77,1.0,0,0
32.65,0.44,8.7,0.0,46.28,0.0,0,0
30.79,0.09,7.16,0.0,47.32,1.0,0,1
19.04,0.39,5.9,0.0,60.86,1.0,0,0
63.09,0.21,6.95,0.0,31.67,0.0,1,1
32.05,0.16,10.83,0.0,34.8,0.0,1,1
45.85,0.39,7.52,1.0,30.5,0.0,0,0
22.23,0.43,1.89,1.0,44.13,1.0,0,0
29.38,0.55,3.88,0.0,39.3,0.0,0,0
50.88,0.26,13.83,0.0,38.79,1.0,1,1
50.26,0.03,10.94,0.0,37.4,0.0,1,1
36.74,0.51,1.42,0.0,29.17,1.0,0,0
46.31,0.22,5.5,0.0,44.84,0.0,1,1
26.24,0.15,10.88,1.0,33.71,0.0,0,0
46.8,0.08,5.83,0.0,37.23,0.0,1,1
38.51,0.04,5.41,1.0,30.72,0.0,0,0
27.52,0.04,8.77,1.0,61.14,1.0,0,0
36.86,0.28,5.16,2.0,29.29,0.0,0,0
39.24,0.5,9.53,1.0,42.27,0.0,0,0
19.33,0.32,8.53,0.0,41.25,1.0,0,0
47.08,0.11,12.2,0.0,53.87,0.0,1,1
24.88,0.25,5.5,1.0,30.91,1.0,0,0
23.74,0.59,4.85,0.0,24.84,1.0,0,0
47.23,0.61,12.98,1.0,49.04,0.0,0,0
40.59,0.29,6.93,1.0,20.34,0.0,0,0
36.55,0.21,7.25,0.0,42.81,0.0,1,1
54.51,0.16,24.91,0.0,53.1,0.0,1,1
39.79,0.21,16.05,1.0,34.7,0.0,1,1
36.74,0.39,13.29,0.0,50.83,0.0,1,1
29.32,0.23,4.79,1.0,54.27,1.0,0,0
30.54,0.49,21.01,1.0,46.8,1.0,0,0
39.04,0.02,14.25,0.0,54.16,1.0,1,1
78.19,0.08,8.87,1.0,67.58,0.0,1,1
57.83,0.22,7.6,0.0,43.36,0.0,1,1
44.37,0.36,22.99,0.0,54.61,1.0,1,1
30.89,0.1,8.72,0.0,37.13,0.0,1,1
15.05,0.26,18.48,0.0,18.0,0.0,1,1
35.15,0.56,15.94,0.0,37.58,0.0,0,0
29.83,0.1,6.38,0.0,39.05,1.0,0,1
34.85,0.06,12.43,0.0,43.43,1.0,1,1
41.43,0.11,5.72,0.0,32.18,0.0,1,1
30.18,0.35,4.88,0.0,37.39,0.0,0,0
59.87,0.35,2.73,0.0,47.24,1.0,0,1
29.97,0.23,8.67,0.0,61.16,0.0,0,0
15.52,0.18,12.75,0.0,33.24,1.0,0,1
24.48,0.16,4.91,0.0,26.3,0.0,0,0
36.72,0.17,5.81,0.0,48.76,1.0,0,1
55.53,0.1,3.5,0.0,30.2,1.0,1,1
19.64,0.26,12.43,0.0,34.75,1.0,0,0
65.57,0.33,9.12,0.0,68.75,0.0,1,1
34.21,0.37,17.0,1.0,47.92,0.0,0,0
37.99,0.07,10.19,1.0,48.35,1.0,0,1
56.39,0.36,10.22,0.0,30.69,0.0,1,1
76.13,0.16,16.45,0.0,50.63,0.0,1,1
34.49,0.18,4.76,0.0,49.16,0.0,1,1
29.74,0.49,11.64,1.0,54.48,0.0,0,0
22.32,0.42,3.61,0.0,52.95,0.0,0,0
14.38,0.49,9.83,2.0,72.14,1.0,0,0
70.52,0.41,18.82,0.0,57.73,0.0,1,1
39.2,0.67,15.65,1.0,32.02,0.0,0,0
25.21,0.06,3.96,1.0,35.82,0.0,0,0
19.87,0.7,13.79,0.0,26.81,0.0,0,0
12.84,0.46,3.6,1.0,54.25,1.0,0,0
23.84,0.14,4.17,2.0,26.75,1.0,0,0
